コード,市町村名,振興局,経度,緯度
1367,奥尻町,檜山振興局,139.4667705,42.15251875
1361,江差町,檜山振興局,140.1682125,41.894986
1371,せたな町,檜山振興局,139.884272,42.37735209
1364,乙部町,檜山振興局,140.1823411,42.02334909
1362,上ノ国町,檜山振興局,140.1668598,41.71624472
1363,厚沢部町,檜山振興局,140.3023872,41.9200631
1370,今金町,檜山振興局,140.0926641,42.44411264
1483,苫前町,留萌振興局,141.8155135,44.219265
1482,小平町,留萌振興局,141.8641908,44.07396639
1212,留萌市,留萌振興局,141.7610232,43.87719805
1486,遠別町,留萌振興局,141.9640205,44.60010056
1487,天塩町,留萌振興局,141.8674451,44.8789625
1481,増毛町,留萌振興局,141.5363481,43.79417861
1485,初山別村,留萌振興局,141.8395075,44.51564806
1484,羽幌町,留萌振興局,141.8877843,44.32867987
1695,,北方領土,146.7082258,43.79576122
1607,浦河町,日高振興局,142.8643781,42.28111111
1610,新ひだか町,日高振興局,142.6402721,42.43757527
1602,平取町,日高振興局,142.3725932,42.70629972
1608,様似町,日高振興局,143.0301719,42.16063417
1601,日高町,日高振興局,142.571117,42.87897111
1609,えりも町,日高振興局,143.2176234,42.0480222
1604,新冠町,日高振興局,142.4484885,42.54121403
1334,木古内町,渡島総合振興局,140.4463532,41.72973125
1332,福島町,渡島総合振興局,140.2473468,41.53426929
1333,知内町,渡島総合振興局,140.3633754,41.59341139
1343,鹿部町,渡島総合振興局,140.7979818,42.01269361
1337,七飯町,渡島総合振興局,140.6935407,41.95541444
1346,八雲町,渡島総合振興局,140.2040738,42.20908223
1236,北斗市,渡島総合振興局,140.5654697,41.85947959
1347,長万部町,渡島総合振興局,140.3043562,42.50351049
1345,森町,渡島総合振興局,140.555034,42.067405
1331,松前町,渡島総合振興局,140.0884988,41.51700847
1202,函館市,渡島総合振興局,140.9322944,41.86020805
1205,室蘭市,胆振総合振興局,140.9778215,42.37030164
1575,壮瞥町,胆振総合振興局,140.9947565,42.57616555
1586,むかわ町,胆振総合振興局,142.1670045,42.75696431
1233,伊達市,胆振総合振興局,141.0938282,42.70365375
1213,苫小牧市,胆振総合振興局,141.5950923,42.68249555
1584,洞爺湖町,胆振総合振興局,140.7712554,42.6096382
1585,安平町,胆振総合振興局,141.8442618,42.80987375
1581,厚真町,胆振総合振興局,141.9453723,42.72896264
1230,登別市,胆振総合振興局,141.0843357,42.45356773
1578,白老町,胆振総合振興局,141.254465,42.57976736
1571,豊浦町,胆振総合振興局,140.650405,42.64373736
1235,石狩市,石狩振興局,141.4888423,43.43408042
1101,札幌市,石狩振興局,141.2369158,42.98432986
1304,新篠津村,石狩振興局,141.6147285,43.22232736
1303,当別町,石狩振興局,141.5404163,43.27707048
1224,千歳市,石狩振興局,141.6101501,42.81671889
1234,北広島市,石狩振興局,141.5236907,42.95502459
1217,江別市,石狩振興局,141.546061,43.09489514
1231,恵庭市,石狩振興局,141.5271016,42.89422875
1459,美瑛町,上川総合振興局,142.6458508,43.54268639
1220,士別市,上川総合振興局,142.6579404,44.10611193
1465,剣淵町,上川総合振興局,142.3427398,44.09873369
1221,名寄市,上川総合振興局,142.4377798,44.3275257
1229,富良野市,上川総合振興局,142.4820045,43.27924931
1471,中川町,上川総合振興局,142.0740262,44.68300722
1464,和寒町,上川総合振興局,142.3609037,44.02371292
1457,上川町,上川総合振興局,142.8982789,43.740875
1463,占冠村,上川総合振興局,142.5079868,43.00795667
1458,東川町,上川総合振興局,142.7144104,43.65624682
1456,愛別町,上川総合振興局,142.6508367,43.92862778
1204,旭川市,上川総合振興局,142.3442586,43.74997889
1472,幌加内町,上川総合振興局,142.1297657,44.19070417
1460,上富良野町,上川総合振興局,142.5012355,43.46627111
1469,美深町,上川総合振興局,142.4290491,44.53135625
1452,鷹栖町,上川総合振興局,142.3360953,43.875395
1468,下川町,上川総合振興局,142.68576,44.31557097
1453,東神楽町,上川総合振興局,142.4866562,43.67773236
1455,比布町,上川総合振興局,142.490779,43.91716333
1461,中富良野町,上川総合振興局,142.4051228,43.41084894
1470,音威子府村,上川総合振興局,142.2358568,44.71319194
1454,当麻町,上川総合振興局,142.5798471,43.82220708
1462,南富良野町,上川総合振興局,142.6093934,43.15451317
1637,芽室町,十勝総合振興局,143.0296084,42.87767792
1647,足寄町,十勝総合振興局,143.4639471,43.37338195
1648,陸別町,十勝総合振興局,143.6749697,43.53948536
1634,鹿追町,十勝総合振興局,143.0438856,43.20443069
1646,本別町,十勝総合振興局,143.5449921,43.15094542
1642,広尾町,十勝総合振興局,143.2132054,42.33968542
1631,音更町,十勝総合振興局,143.2089258,43.04325931
1639,更別村,十勝総合振興局,143.2065751,42.62066774
1649,浦幌町,十勝総合振興局,143.6717971,42.93194209
1636,清水町,十勝総合振興局,142.8807152,42.98359986
1638,中札内村,十勝総合振興局,143.0928964,42.64625959
1207,帯広市,十勝総合振興局,143.1273491,42.78298111
1641,大樹町,十勝総合振興局,143.0717533,42.49696754
1645,豊頃町,十勝総合振興局,143.4683394,42.73123069
1635,新得町,十勝総合振興局,142.8567564,43.29069056
1643,幕別町,十勝総合振興局,143.3201996,42.85218664
1633,上士幌町,十勝総合振興局,143.1318807,43.49096507
1632,士幌町,十勝総合振興局,143.2637881,43.16157167
1644,池田町,十勝総合振興局,143.4746182,42.99419292
1511,猿払村,宗谷総合振興局,142.1428208,45.22545417
1518,利尻町,宗谷総合振興局,141.1959019,45.16096
1517,礼文町,宗谷総合振興局,141.0231419,45.37299611
1513,中頓別町,宗谷総合振興局,142.2716887,44.90102348
1514,枝幸町,宗谷総合振興局,142.4993065,44.81957056
1519,利尻富士町,宗谷総合振興局,141.2851336,45.17187889
1520,幌延町,宗谷総合振興局,142.0124652,44.98899778
1512,浜頓別町,宗谷総合振興局,142.327221,45.0809975
1516,豊富町,宗谷総合振興局,141.8015176,45.15251472
1214,稚内市,宗谷総合振興局,141.8117338,45.3493875
1694,羅臼町,根室振興局,145.1934529,44.10174347
1691,別海町,根室振興局,144.9568385,43.41591041
1693,標津町,根室振興局,144.9006983,43.73710041
1223,根室市,根室振興局,145.426255,43.22553225
1692,中標津町,根室振興局,144.8334836,43.58072889
1393,黒松内町,後志総合振興局,140.3632278,42.67707625
1401,共和町,後志総合振興局,140.6429997,42.99394097
1406,古平町,後志総合振興局,140.6058956,43.18623041
1409,赤井川村,後志総合振興局,140.9208618,43.04324833
1403,泊村,後志総合振興局,140.5259626,43.09479973
1408,余市町,後志総合振興局,140.7586314,43.19945082
1392,寿都町,後志総合振興局,140.344011,42.79949167
1400,倶知安町,後志総合振興局,140.7732849,42.91854342
1404,神恵内村,後志総合振興局,140.435442,43.18142363
1396,真狩村,後志総合振興局,140.7790141,42.7402125
1397,留寿都村,後志総合振興局,140.9092334,42.72124253
1398,喜茂別町,後志総合振興局,140.9717034,42.79904723
1399,京極町,後志総合振興局,140.9442356,42.89471014
1391,島牧村,後志総合振興局,140.0518722,42.676485
1407,仁木町,後志総合振興局,140.6971908,43.0876
1395,ニセコ町,後志総合振興局,140.6791324,42.79278
1203,小樽市,後志総合振興局,141.0377658,43.14771518
1405,積丹町,後志総合振興局,140.4874191,43.29201581
1402,岩内町,後志総合振興局,140.4867989,42.95124723
1394,蘭越町,後志総合振興局,140.4840987,42.77394556
1664,標茶町,釧路総合振興局,144.5289644,43.29942819
1206,釧路市,釧路総合振興局,144.0917108,43.23778681
1665,弟子屈町,釧路総合振興局,144.3981212,43.54600306
1667,鶴居村,釧路総合振興局,144.2812731,43.26264958
1663,浜中町,釧路総合振興局,145.0588764,43.12807295
1662,厚岸町,釧路総合振興局,144.8239626,43.12574743
1668,白糠町,釧路総合振興局,143.9043846,43.14886805
1661,釧路町,釧路総合振興局,144.4898622,43.02561431
1424,奈井江町,空知総合振興局,141.903985,43.41563431
1430,月形町,空知総合振興局,141.6826765,43.37405389
1228,深川市,空知総合振興局,142.1374841,43.84036528
1423,南幌町,空知総合振興局,141.6347804,43.058585
1437,北竜町,空知総合振興局,141.8229833,43.77827014
1433,妹背牛町,空知総合振興局,141.945542,43.70564111
1222,三笠市,空知総合振興局,141.9622193,43.25162111
1216,芦別市,空知総合振興局,142.2170867,43.43430375
1428,長沼町,空知総合振興局,141.6829927,42.98345028
1427,由仁町,空知総合振興局,141.8010716,42.9777635
1210,岩見沢市,空知総合振興局,141.7359922,43.20562722
1226,砂川市,空知総合振興局,141.9443787,43.50664181
1425,上砂川町,空知総合振興局,142.0131177,43.44727847
1218,赤平市,空知総合振興局,142.0531677,43.56498264
1436,雨竜町,空知総合振興局,141.8361825,43.67713931
1227,歌志内市,空知総合振興局,142.0226766,43.48639417
1434,秩父別町,空知総合振興局,141.9720962,43.78088028
1438,沼田町,空知総合振興局,141.9712873,43.88703625
1215,美唄市,空知総合振興局,141.8529941,43.33475917
1225,滝川市,空知総合振興局,141.9423942,43.60214459
1429,栗山町,空知総合振興局,141.8468863,43.0719526
1209,夕張市,空知総合振興局,142.114092,43.04125639
1432,新十津川町,空知総合振興局,141.7488954,43.57601583
1431,浦臼町,空知総合振興局,141.7883323,43.42845917
1219,紋別市,オホーツク総合振興局,143.3366267,44.19663514
1547,小清水町,オホーツク総合振興局,144.4467281,43.81417847
1561,興部町,オホーツク総合振興局,143.1441898,44.39223056
1550,置戸町,オホーツク総合振興局,143.4856741,43.64224337
1546,清里町,オホーツク総合振興局,144.6076122,43.74463444
1211,網走市,オホーツク総合振興局,144.2889088,43.94579319
1555,遠軽町,オホーツク総合振興局,143.3146217,43.90495806
1544,津別町,オホーツク総合振興局,143.9783506,43.61617584
1563,雄武町,オホーツク総合振興局,142.8180132,44.55691195
1552,佐呂間町,オホーツク総合振興局,143.8205245,44.04047375
1560,滝上町,オホーツク総合振興局,143.0039105,44.10265403
1545,斜里町,オホーツク総合振興局,144.7747609,43.88081151
1564,大空町,オホーツク総合振興局,144.2831942,43.83038806
1549,訓子府町,オホーツク総合振興局,143.728462,43.70069417
1559,湧別町,オホーツク総合振興局,143.6008059,44.15771021
1208,北見市,オホーツク総合振興局,143.757839,43.8444597
1562,西興部村,オホーツク総合振興局,142.9277235,44.3279723
1543,美幌町,オホーツク総合振興局,144.1687116,43.74562527
1235,石狩市,石狩振興局,141.4888423,43.43408042
1101,札幌市,石狩振興局,141.2369158,42.98432986
1304,新篠津村,石狩振興局,141.6147285,43.22232736
1303,当別町,石狩振興局,141.5404163,43.27707048
1224,千歳市,石狩振興局,141.6101501,42.81671889
1234,北広島市,石狩振興局,141.5236907,42.95502459
1217,江別市,石狩振興局,141.546061,43.09489514
1231,恵庭市,石狩振興局,141.5271016,42.89422875
